YEAR,CROP,STATE,YIELD,UNIT
2000,BARLEY,ALASKA,31.1,BU / ACRE
2000,BARLEY,ARIZONA,114,BU / ACRE
2000,BARLEY,CALIFORNIA,68,BU / ACRE
2000,BARLEY,COLORADO,115,BU / ACRE
2000,BARLEY,DELAWARE,81,BU / ACRE
2000,BARLEY,IDAHO,76,BU / ACRE
2000,BARLEY,KANSAS,35,BU / ACRE
2000,BARLEY,KENTUCKY,75,BU / ACRE
2000,BARLEY,MAINE,70,BU / ACRE
2000,BARLEY,MARYLAND,82,BU / ACRE
2000,BARLEY,MICHIGAN,60,BU / ACRE
2000,BARLEY,MINNESOTA,64,BU / ACRE
2000,BARLEY,MONTANA,40,BU / ACRE
2000,BARLEY,NEBRASKA,27,BU / ACRE
2000,BARLEY,NEVADA,85,BU / ACRE
2000,BARLEY,NEW JERSEY,78,BU / ACRE
2000,BARLEY,NEW YORK,58,BU / ACRE
2000,BARLEY,NORTH CAROLINA,80,BU / ACRE
2000,BARLEY,NORTH DAKOTA,55,BU / ACRE
2000,BARLEY,OHIO,78,BU / ACRE
2000,BARLEY,OREGON,60,BU / ACRE
2000,BARLEY,PENNSYLVANIA,71,BU / ACRE
2000,BARLEY,SOUTH DAKOTA,55,BU / ACRE
2000,BARLEY,UTAH,70,BU / ACRE
2000,BARLEY,VIRGINIA,89,BU / ACRE
2000,BARLEY,WASHINGTON,70,BU / ACRE
2000,BARLEY,WISCONSIN,64,BU / ACRE
2000,BARLEY,WYOMING,83,BU / ACRE
2000,CANOLA,MINNESOTA,"1,480",LB / ACRE
2000,CANOLA,MONTANA,960,LB / ACRE
2000,CANOLA,NORTH DAKOTA,"1,320",LB / ACRE
2000,CANOLA,OTHER STATES,"1,328",LB / ACRE
2000,CHICKPEAS,CALIFORNIA,"1,460",LB / ACRE
2000,CHICKPEAS,IDAHO,"1,460",LB / ACRE
2000,CHICKPEAS,MONTANA,750,LB / ACRE
2000,CHICKPEAS,NORTH DAKOTA,"1,320",LB / ACRE
2000,CHICKPEAS,OREGON,"1,330",LB / ACRE
2000,CHICKPEAS,SOUTH DAKOTA,"1,670",LB / ACRE
2000,CHICKPEAS,WASHINGTON,"1,240",LB / ACRE
2000,CORN,ALABAMA,65,BU / ACRE
2000,CORN,ARIZONA,196,BU / ACRE
2000,CORN,ARKANSAS,130,BU / ACRE
2000,CORN,CALIFORNIA,170,BU / ACRE
2000,CORN,COLORADO,126,BU / ACRE
2000,CORN,DELAWARE,162,BU / ACRE
2000,CORN,FLORIDA,75,BU / ACRE
2000,CORN,GEORGIA,107,BU / ACRE
2000,CORN,IDAHO,160,BU / ACRE
2000,CORN,ILLINOIS,151,BU / ACRE
2000,CORN,INDIANA,146,BU / ACRE
2000,CORN,IOWA,144,BU / ACRE
2000,CORN,KANSAS,130,BU / ACRE
2000,CORN,KENTUCKY,130,BU / ACRE
2000,CORN,LOUISIANA,116,BU / ACRE
2000,CORN,MARYLAND,155,BU / ACRE
2000,CORN,MICHIGAN,124,BU / ACRE
2000,CORN,MINNESOTA,145,BU / ACRE
2000,CORN,MISSISSIPPI,100,BU / ACRE
2000,CORN,MISSOURI,143,BU / ACRE
2000,CORN,MONTANA,140,BU / ACRE
2000,CORN,NEBRASKA,126,BU / ACRE
2000,CORN,NEW JERSEY,134,BU / ACRE
2000,CORN,NEW MEXICO,160,BU / ACRE
2000,CORN,NEW YORK,98,BU / ACRE
2000,CORN,NORTH CAROLINA,116,BU / ACRE
2000,CORN,NORTH DAKOTA,112,BU / ACRE
2000,CORN,OHIO,147,BU / ACRE
2000,CORN,OKLAHOMA,140,BU / ACRE
2000,CORN,OREGON,180,BU / ACRE
2000,CORN,PENNSYLVANIA,127,BU / ACRE
2000,CORN,SOUTH CAROLINA,65,BU / ACRE
2000,CORN,SOUTH DAKOTA,112,BU / ACRE
2000,CORN,TENNESSEE,114,BU / ACRE
2000,CORN,TEXAS,124,BU / ACRE
2000,CORN,UTAH,144,BU / ACRE
2000,CORN,VIRGINIA,146,BU / ACRE
2000,CORN,WASHINGTON,185,BU / ACRE
2000,CORN,WEST VIRGINIA,130,BU / ACRE
2000,CORN,WISCONSIN,132,BU / ACRE
2000,CORN,WYOMING,132,BU / ACRE
2000,COTTON,ALABAMA,492,LB / ACRE
2000,COTTON,ARIZONA,"1,354",LB / ACRE
2000,COTTON,ARKANSAS,720,LB / ACRE
2000,COTTON,CALIFORNIA,"1,342",LB / ACRE
2000,COTTON,FLORIDA,480,LB / ACRE
2000,COTTON,GEORGIA,591,LB / ACRE
2000,COTTON,KANSAS,288,LB / ACRE
2000,COTTON,LOUISIANA,629,LB / ACRE
2000,COTTON,MISSISSIPPI,642,LB / ACRE
2000,COTTON,MISSOURI,668,LB / ACRE
2000,COTTON,NEW MEXICO,713,LB / ACRE
2000,COTTON,NORTH CAROLINA,742,LB / ACRE
2000,COTTON,OKLAHOMA,503,LB / ACRE
2000,COTTON,SOUTH CAROLINA,627,LB / ACRE
2000,COTTON,TENNESSEE,603,LB / ACRE
2000,COTTON,TEXAS,432,LB / ACRE
2000,COTTON,VIRGINIA,738,LB / ACRE
2000,FLAXSEED,MINNESOTA,22,BU / ACRE
2000,FLAXSEED,MONTANA,14,BU / ACRE
2000,FLAXSEED,NORTH DAKOTA,21,BU / ACRE
2000,FLAXSEED,SOUTH DAKOTA,19,BU / ACRE
2000,HAY & HAYLAGE,MICHIGAN,3.76,TONS / ACRE
2000,HAY & HAYLAGE,MINNESOTA,3.35,TONS / ACRE
2000,HAY & HAYLAGE,NEW YORK,2.49,TONS / ACRE
2000,HAY & HAYLAGE,PENNSYLVANIA,3.17,TONS / ACRE
2000,HAY & HAYLAGE,VERMONT,2.69,TONS / ACRE
2000,HAY & HAYLAGE,WASHINGTON,4.5,TONS / ACRE
2000,HAY & HAYLAGE,WEST VIRGINIA,2.27,TONS / ACRE
2000,HAY & HAYLAGE,WISCONSIN,3.78,TONS / ACRE
2000,HOPS,IDAHO,"1,484",LB / ACRE
2000,HOPS,OREGON,"1,785",LB / ACRE
2000,HOPS,WASHINGTON,"1,937",LB / ACRE
2000,PEANUTS,ALABAMA,"1,490",LB / ACRE
2000,PEANUTS,FLORIDA,"2,485",LB / ACRE
2000,PEANUTS,GEORGIA,"2,700",LB / ACRE
2000,PEANUTS,NEW MEXICO,"2,115",LB / ACRE
2000,PEANUTS,NORTH CAROLINA,"2,750",LB / ACRE
2000,PEANUTS,OKLAHOMA,"1,800",LB / ACRE
2000,PEANUTS,SOUTH CAROLINA,"2,950",LB / ACRE
2000,PEANUTS,TEXAS,"2,540",LB / ACRE
2000,PEANUTS,VIRGINIA,"2,805",LB / ACRE
2000,RICE,ARKANSAS,"6,110",LB / ACRE
2000,RICE,CALIFORNIA,"7,940",LB / ACRE
2000,RICE,LOUISIANA,"5,080",LB / ACRE
2000,RICE,MISSISSIPPI,"5,900",LB / ACRE
2000,RICE,MISSOURI,"5,700",LB / ACRE
2000,RICE,TEXAS,"6,700",LB / ACRE
2000,RYE,GEORGIA,26,BU / ACRE
2000,RYE,NORTH DAKOTA,44,BU / ACRE
2000,RYE,OKLAHOMA,21,BU / ACRE
2000,RYE,OTHER STATES,29.6,BU / ACRE
2000,RYE,SOUTH DAKOTA,42,BU / ACRE
2000,SAFFLOWER,MONTANA,770,LB / ACRE
2000,SORGHUM,ALABAMA,40,BU / ACRE
2000,SORGHUM,ARIZONA,80,BU / ACRE
2000,SORGHUM,ARKANSAS,71,BU / ACRE
2000,SORGHUM,CALIFORNIA,75,BU / ACRE
2000,SORGHUM,COLORADO,32,BU / ACRE
2000,SORGHUM,DELAWARE,83,BU / ACRE
2000,SORGHUM,GEORGIA,45,BU / ACRE
2000,SORGHUM,ILLINOIS,95,BU / ACRE
2000,SORGHUM,KANSAS,59,BU / ACRE
2000,SORGHUM,KENTUCKY,85,BU / ACRE
2000,SORGHUM,LOUISIANA,83,BU / ACRE
2000,SORGHUM,MARYLAND,84,BU / ACRE
2000,SORGHUM,MISSISSIPPI,78,BU / ACRE
2000,SORGHUM,MISSOURI,92,BU / ACRE
2000,SORGHUM,NEBRASKA,70,BU / ACRE
2000,SORGHUM,NEW MEXICO,25,BU / ACRE
2000,SORGHUM,NORTH CAROLINA,50,BU / ACRE
2000,SORGHUM,OKLAHOMA,38,BU / ACRE
2000,SORGHUM,PENNSYLVANIA,80,BU / ACRE
2000,SORGHUM,SOUTH CAROLINA,52,BU / ACRE
2000,SORGHUM,SOUTH DAKOTA,49,BU / ACRE
2000,SORGHUM,TENNESSEE,75,BU / ACRE
2000,SORGHUM,TEXAS,61,BU / ACRE
2000,SORGHUM,VIRGINIA,82,BU / ACRE
2000,SOYBEANS,ALABAMA,18,BU / ACRE
2000,SOYBEANS,ARKANSAS,25.5,BU / ACRE
2000,SOYBEANS,DELAWARE,43,BU / ACRE
2000,SOYBEANS,FLORIDA,19,BU / ACRE
2000,SOYBEANS,GEORGIA,24,BU / ACRE
2000,SOYBEANS,ILLINOIS,44,BU / ACRE
2000,SOYBEANS,INDIANA,46,BU / ACRE
2000,SOYBEANS,IOWA,43.5,BU / ACRE
2000,SOYBEANS,KANSAS,20,BU / ACRE
2000,SOYBEANS,KENTUCKY,39,BU / ACRE
2000,SOYBEANS,LOUISIANA,24,BU / ACRE
2000,SOYBEANS,MARYLAND,43,BU / ACRE
2000,SOYBEANS,MICHIGAN,36,BU / ACRE
2000,SOYBEANS,MINNESOTA,41,BU / ACRE
2000,SOYBEANS,MISSISSIPPI,22,BU / ACRE
2000,SOYBEANS,MISSOURI,35,BU / ACRE
2000,SOYBEANS,NEBRASKA,38,BU / ACRE
2000,SOYBEANS,NEW JERSEY,40,BU / ACRE
2000,SOYBEANS,NEW YORK,33,BU / ACRE
2000,SOYBEANS,NORTH CAROLINA,32.5,BU / ACRE
2000,SOYBEANS,NORTH DAKOTA,32,BU / ACRE
2000,SOYBEANS,OHIO,42,BU / ACRE
2000,SOYBEANS,OKLAHOMA,15,BU / ACRE
2000,SOYBEANS,PENNSYLVANIA,43,BU / ACRE
2000,SOYBEANS,SOUTH CAROLINA,25,BU / ACRE
2000,SOYBEANS,SOUTH DAKOTA,35,BU / ACRE
2000,SOYBEANS,TENNESSEE,25,BU / ACRE
2000,SOYBEANS,TEXAS,27,BU / ACRE
2000,SOYBEANS,VIRGINIA,38.5,BU / ACRE
2000,SOYBEANS,WEST VIRGINIA,47,BU / ACRE
2000,SOYBEANS,WISCONSIN,40,BU / ACRE
2000,SUGARBEETS,CALIFORNIA,34,TONS / ACRE
2000,SUGARBEETS,COLORADO,22.5,TONS / ACRE
