YEAR,MONTH,STATE,PRECIPITATION,TEMP_AVG,TEMP_MAX,TEMP_MIN
2000,1,Alabama,4.69,46.50,57.1,35.9
2000,2,Alabama,1.99,52.30,66.2,38.4
2000,3,Alabama,5.05,58.90,72.1,45.6
2000,4,Alabama,4.83,60.10,73.4,46.8
2000,5,Alabama,1.32,74.00,86.3,61.6
2000,6,Alabama,3.71,77.60,89.4,65.7
2000,7,Alabama,2.26,81.90,94.9,68.9
2000,8,Alabama,2.36,81.00,93.8,68.2
2000,9,Alabama,3.49,73.90,85.2,62.6
2000,10,Alabama,0.80,64.60,79.7,49.6
2000,11,Alabama,7.70,52.80,63.6,42
2000,12,Alabama,4.29,39.20,49.8,28.6
2000,1,Arizona,0.28,45.80,59.8,31.8
2000,2,Arizona,0.59,48.40,62.3,34.6
2000,3,Arizona,1.73,50.50,64.1,37
2000,4,Arizona,0.11,61.90,78.3,45.5
2000,5,Arizona,0.02,71.20,88.2,54.2
2000,6,Arizona,0.73,77.80,93.2,62.4
2000,7,Arizona,0.53,81.50,96.4,66.5
2000,8,Arizona,2.45,79.40,92.7,66.1
2000,9,Arizona,0.19,74.90,90.2,59.6
2000,10,Arizona,3.54,60.20,72.5,47.9
2000,11,Arizona,0.84,43.80,56.3,31.2
2000,12,Arizona,0.12,44.70,58.7,30.6
2000,1,Arkansas,2.32,41.80,51.8,31.7
2000,2,Arkansas,2.66,49.10,61.2,37
2000,3,Arkansas,4.24,54.80,66,43.6
2000,4,Arkansas,3.61,59.20,70.9,47.4
2000,5,Arkansas,6.69,70.80,80.8,60.8
2000,6,Arkansas,6.93,75.10,84.7,65.6
2000,7,Arkansas,1.54,80.10,91.2,69
2000,8,Arkansas,0.43,83.80,97.4,70.3
2000,9,Arkansas,2.95,73.70,87.2,60.2
2000,10,Arkansas,1.76,63.90,76.7,51.1
2000,11,Arkansas,8.97,46.80,55.9,37.7
2000,12,Arkansas,3.60,31.60,40.4,22.9
2000,1,California,5.09,45.80,54.9,36.6
2000,2,California,6.93,47.20,56,38.4
2000,3,California,1.92,50.20,61.7,38.6
2000,4,California,1.80,57.80,71.1,44.6
2000,5,California,0.94,63.90,77.3,50.4
2000,6,California,0.31,72.20,87,57.3
2000,7,California,0.06,73.50,88.5,58.5
2000,8,California,0.27,75.00,89.8,60.1
2000,9,California,0.35,69.10,83.6,54.6
2000,10,California,2.20,58.40,70.2,46.5
2000,11,California,0.79,46.00,57.2,34.8
2000,12,California,0.77,46.50,57.7,35.4
2000,1,Colorado,1.25,29.10,41,17.2
2000,2,Colorado,1.19,34.30,47.5,21.1
2000,3,Colorado,2.55,36.60,49.1,24.2
2000,4,Colorado,1.32,46.40,61.9,31
2000,5,Colorado,1.20,56.10,71.5,40.8
2000,6,Colorado,1.00,63.00,78.7,47.3
2000,7,Colorado,1.63,69.80,85.4,54.1
2000,8,Colorado,2.01,69.00,84.2,53.9
2000,9,Colorado,1.35,59.40,74.9,44
2000,10,Colorado,1.76,47.40,60.6,34.2
2000,11,Colorado,0.83,27.20,39.2,15.2
2000,12,Colorado,0.82,25.70,38.2,13.2
2000,1,Connecticut,3.45,24.60,34.1,15.1
2000,2,Connecticut,2.59,31.30,40.4,22.2
2000,3,Connecticut,4.11,41.90,53,30.8
2000,4,Connecticut,5.02,46.10,56,36.2
2000,5,Connecticut,4.49,57.90,69.3,46.5
2000,6,Connecticut,6.22,66.00,76.9,55.2
2000,7,Connecticut,6.23,67.80,77.9,57.6
2000,8,Connecticut,3.42,67.90,77.7,58.2
2000,9,Connecticut,4.14,61.20,72.1,50.2
2000,10,Connecticut,1.14,51.10,62.4,39.7
2000,11,Connecticut,3.71,40.50,48.7,32.3
2000,12,Connecticut,4.22,26.10,34.8,17.4
2000,1,Delaware,3.33,33.30,42.8,23.8
2000,2,Delaware,2.12,39.20,49.6,28.9
2000,3,Delaware,7.01,48.70,59.9,37.6
2000,4,Delaware,3.83,52.40,62.2,42.6
2000,5,Delaware,3.36,64.70,75.3,54
2000,6,Delaware,4.91,73.00,83,63
2000,7,Delaware,6.03,72.80,82,63.7
2000,8,Delaware,4.55,73.10,82,64.2
2000,9,Delaware,5.48,66.20,76.1,56.3
2000,10,Delaware,0.31,57.60,69.7,45.6
2000,11,Delaware,2.45,44.60,54.8,34.4
2000,12,Delaware,2.81,31.30,40.2,22.3
2000,1,Florida,2.21,58.40,70.4,46.5
2000,2,Florida,1.08,60.50,73.4,47.6
2000,3,Florida,2.56,67.60,80,55.2
2000,4,Florida,2.10,68.10,81.1,55.1
2000,5,Florida,0.91,77.30,89.7,64.9
2000,6,Florida,5.72,80.50,91.4,69.5
2000,7,Florida,6.45,82.30,92.5,72.1
2000,8,Florida,5.28,81.70,91.8,71.7
2000,9,Florida,8.48,79.50,88.3,70.7
2000,10,Florida,1.86,70.90,82.6,59.3
2000,11,Florida,2.02,63.40,75.4,51.5
2000,12,Florida,1.62,56.70,68.4,45
2000,1,Georgia,4.68,46.20,57.2,35.2
2000,2,Georgia,1.80,51.60,65.8,37.4
2000,3,Georgia,4.74,59.10,72.3,46
2000,4,Georgia,2.70,60.60,74.1,47.2
2000,5,Georgia,1.00,73.90,87,60.9
2000,6,Georgia,3.89,78.00,90.5,65.4
2000,7,Georgia,3.55,80.80,92.9,68.8
2000,8,Georgia,4.22,79.50,90.8,68.2
2000,9,Georgia,6.68,72.60,82.1,63.1
2000,10,Georgia,0.48,63.70,78,49.5
2000,11,Georgia,4.30,53.60,65.4,41.8
2000,12,Georgia,3.34,40.60,51.2,30
2000,1,Idaho,3.41,25.70,32.9,18.4
2000,2,Idaho,3.05,32.00,40.2,23.7
2000,3,Idaho,1.92,34.50,45.7,23.3
2000,4,Idaho,1.50,45.30,58.2,32.4
2000,5,Idaho,2.05,50.30,62.5,38.1
2000,6,Idaho,0.86,58.60,73.6,43.5
2000,7,Idaho,0.35,66.50,83.1,50
2000,8,Idaho,0.31,66.30,83.2,49.4
2000,9,Idaho,1.65,54.00,68.1,39.9
2000,10,Idaho,2.77,44.10,55.2,33
2000,11,Idaho,1.34,25.70,34.5,16.9
2000,12,Idaho,1.68,24.20,32.1,16.3
2000,1,Illinois,1.53,27.30,36,18.6
2000,2,Illinois,2.53,37.40,46.4,28.4
2000,3,Illinois,2.03,46.20,57.5,34.8
2000,4,Illinois,2.99,51.50,63.7,39.3
2000,5,Illinois,4.40,65.10,75.8,54.3
2000,6,Illinois,7.34,70.30,80.4,60.1
2000,7,Illinois,4.36,73.20,82.9,63.4
2000,8,Illinois,3.56,74.60,85,64.2
2000,9,Illinois,3.81,66.30,78.6,54
2000,10,Illinois,2.10,58.00,69.6,46.3
2000,11,Illinois,3.18,38.90,47.1,30.7
2000,12,Illinois,1.94,17.60,25.9,9.3
2000,1,Indiana,2.54,26.70,35.7,17.6
2000,2,Indiana,3.46,36.70,45.8,27.6
2000,3,Indiana,2.20,45.40,57.1,33.8
2000,4,Indiana,3.23,50.40,62.4,38.4
2000,5,Indiana,4.53,64.20,75.1,53.3
2000,6,Indiana,6.21,70.40,80.7,60
2000,7,Indiana,3.89,71.80,82.1,61.6
2000,8,Indiana,4.41,72.00,82.5,61.4
2000,9,Indiana,4.61,64.40,76.2,52.6
2000,10,Indiana,2.33,57.20,69.3,45.2
2000,11,Indiana,2.98,40.30,48.8,31.9
2000,12,Indiana,3.01,19.20,27.6,10.8
2000,1,Iowa,0.73,21.60,31.5,11.8
2000,2,Iowa,1.37,32.50,42,23
2000,3,Iowa,1.00,43.10,54.6,31.5
2000,4,Iowa,2.03,49.40,62.2,36.6
2000,5,Iowa,3.60,62.80,74.9,50.7
2000,6,Iowa,6.56,67.70,78.7,56.7
2000,7,Iowa,4.09,72.20,81.8,62.6
2000,8,Iowa,2.62,72.70,83,62.5
2000,9,Iowa,2.11,64.60,78,51.3
2000,10,Iowa,1.80,54.80,66.2,43.4
2000,11,Iowa,2.15,32.20,40.4,24
2000,12,Iowa,1.67,10.00,18.6,1.4
2000,1,Kansas,0.42,33.30,45.5,21.1
2000,2,Kansas,1.61,41.00,54.8,27.3
2000,3,Kansas,4.16,46.30,57.6,35
2000,4,Kansas,1.35,53.80,68.5,39.2
2000,5,Kansas,2.67,66.50,79.5,53.4
2000,6,Kansas,4.25,72.00,84.5,59.5
2000,7,Kansas,3.68,79.00,91.4,66.6
2000,8,Kansas,0.62,83.00,97.2,68.7
2000,9,Kansas,1.01,71.10,87.1,55.2
2000,10,Kansas,3.98,59.40,71,47.7
2000,11,Kansas,1.24,36.80,47.9,25.6
2000,12,Kansas,0.49,24.20,34.7,13.7
2000,1,Kentucky,3.79,33.80,43.2,24.3
2000,2,Kentucky,4.68,43.10,54.1,32.2
2000,3,Kentucky,3.53,50.10,62.8,37.4
2000,4,Kentucky,4.55,53.90,66.1,41.7
2000,5,Kentucky,4.66,67.00,78.9,55.1
2000,6,Kentucky,4.41,73.10,84.2,62
2000,7,Kentucky,4.72,74.50,85.3,63.7
2000,8,Kentucky,3.91,74.80,85.6,63.9
2000,9,Kentucky,3.49,67.20,78.4,56
2000,10,Kentucky,0.88,59.60,73.4,45.8
2000,11,Kentucky,2.82,44.20,54.4,34
2000,12,Kentucky,3.85,26.70,35.4,18
2000,1,Louisiana,2.10,52.60,63.4,41.8
2000,2,Louisiana,1.03,57.70,70,45.4
2000,3,Louisiana,5.12,63.60,75.1,52.1
2000,4,Louisiana,4.69,64.90,76.4,53.3
2000,5,Louisiana,4.38,76.60,86.4,66.8
2000,6,Louisiana,5.07,79.80,89.5,70.1
2000,7,Louisiana,2.78,83.20,94.2,72.1
2000,8,Louisiana,2.08,84.30,96.4,72.2
2000,9,Louisiana,3.69,77.70,89.5,65.8
2000,10,Louisiana,1.32,67.50,80.6,54.4
2000,11,Louisiana,11.52,55.30,65.1,45.5
2000,12,Louisiana,4.02,43.70,53.6,33.8
2000,1,Maine,3.62,14.10,23.7,4.6
2000,2,Maine,3.11,18.20,29.7,6.8
2000,3,Maine,3.60,32.60,42.7,22.5
2000,4,Maine,5.74,39.10,48.1,30
2000,5,Maine,4.62,49.50,60.4,38.5
2000,6,Maine,2.65,59.40,71,47.9
2000,7,Maine,4.17,63.00,73.7,52.3
2000,8,Maine,2.61,63.10,73.5,52.7
2000,9,Maine,2.27,54.50,65.6,43.4
2000,10,Maine,3.37,44.60,54.8,34.4
2000,11,Maine,2.99,35.60,41.4,29.7
2000,12,Maine,4.40,17.50,26,9.1
2000,1,Maryland,3.15,32.50,42,23
2000,2,Maryland,2.30,38.70,49.3,28.1
2000,3,Maryland,4.95,48.40,60,36.7
2000,4,Maryland,4.28,52.70,63,42.4
2000,5,Maryland,3.27,64.90,76.1,53.7
2000,6,Maryland,4.98,72.40,82.4,62.4
2000,7,Maryland,6.39,72.00,81.6,62.5
2000,8,Maryland,4.10,72.60,81.7,63.4
2000,9,Maryland,5.28,65.70,75.7,55.7
2000,10,Maryland,0.35,57.20,69.4,45.1
2000,11,Maryland,2.05,43.30,53.3,33.3
2000,12,Maryland,2.82,29.20,37.9,20.5
2000,1,Massachusetts,3.52,23.50,33.5,13.6
2000,2,Massachusetts,3.37,30.10,39.3,20.8
2000,3,Massachusetts,4.42,40.60,51.3,29.9
2000,4,Massachusetts,5.87,45.10,54.3,35.9
2000,5,Massachusetts,3.94,56.40,67.5,45.2
2000,6,Massachusetts,6.20,65.10,75.6,54.5
2000,7,Massachusetts,5.37,67.00,77,57
2000,8,Massachusetts,3.63,67.00,76.7,57.3
2000,9,Massachusetts,3.57,60.20,71.2,49.3
2000,10,Massachusetts,2.47,50.20,61.1,39.3
2000,11,Massachusetts,3.53,40.00,47.5,32.4
2000,12,Massachusetts,4.30,25.00,34.1,16
2000,1,Michigan,1.68,19.30,28,10.6
2000,2,Michigan,1.42,26.50,36.2,16.9
2000,3,Michigan,1.62,38.80,49.4,28.2
2000,4,Michigan,2.41,42.40,53.3,31.4
2000,5,Michigan,4.64,56.60,68.1,45
2000,6,Michigan,4.07,63.50,74.1,52.8
2000,7,Michigan,3.45,66.10,77.4,54.7
2000,8,Michigan,2.85,66.10,77.1,55
2000,9,Michigan,3.95,58.00,69.1,47
2000,10,Michigan,1.63,50.80,61.7,39.9
2000,11,Michigan,2.77,36.20,42.5,29.8
2000,12,Michigan,2.53,15.90,23.7,8.2
2000,1,Minnesota,29.10,10.30,20.8,-0.2
2000,2,Minnesota,1.03,22.80,33,12.6
2000,3,Minnesota,1.21,36.40,47.4,25.4
2000,4,Minnesota,1.44,42.20,53.9,30.4
2000,5,Minnesota,3.65,56.70,68.9,44.5
2000,6,Minnesota,4.99,61.50,72.6,50.4
2000,7,Minnesota,3.79,68.60,79.4,57.7
2000,8,Minnesota,3.47,67.60,78.8,56.3
2000,9,Minnesota,1.53,56.60,69.1,44.1
2000,10,Minnesota,1.97,48.20,59.3,37.2
2000,11,Minnesota,3.39,28.40,34.7,22
2000,12,Minnesota,0.93,2.50,11.4,-6.4
2000,1,Mississippi,3.14,47.30,58,36.7
2000,2,Mississippi,1.88,53.20,66.6,39.8
2000,3,Mississippi,5.15,59.80,72.3,47.3
2000,4,Mississippi,6.73,61.30,73.5,49.1
2000,5,Mississippi,2.36,74.40,85.6,63.2
2000,6,Mississippi,4.51,78.10,89.2,66.9
2000,7,Mississippi,1.88,82.20,94.9,69.5
2000,8,Mississippi,1.95,83.20,96.6,69.8
2000,9,Mississippi,2.67,75.40,87.6,63.1
2000,10,Mississippi,0.99,65.20,80.2,50.3
2000,11,Mississippi,9.17,52.10,62.6,41.6
2000,12,Mississippi,4.21,38.40,48.9,27.9
